Key,Value
3/16/2019 12:00:00 AM,2
3/17/2019 12:00:00 AM,0
3/18/2019 12:00:00 AM,0
3/19/2019 12:00:00 AM,0
3/20/2019 12:00:00 AM,0
3/21/2019 12:00:00 AM,0
3/22/2019 12:00:00 AM,6
3/23/2019 12:00:00 AM,0
3/24/2019 12:00:00 AM,19
3/25/2019 12:00:00 AM,8
3/26/2019 12:00:00 AM,0
3/27/2019 12:00:00 AM,0
3/28/2019 12:00:00 AM,0
3/29/2019 12:00:00 AM,2
3/30/2019 12:00:00 AM,43
3/31/2019 12:00:00 AM,35
4/1/2019 12:00:00 AM,25
4/2/2019 12:00:00 AM,6
4/3/2019 12:00:00 AM,12
4/4/2019 12:00:00 AM,16
4/5/2019 12:00:00 AM,21
4/6/2019 12:00:00 AM,24
4/7/2019 12:00:00 AM,24
4/8/2019 12:00:00 AM,28
4/9/2019 12:00:00 AM,12
4/10/2019 12:00:00 AM,4
4/11/2019 12:00:00 AM,6
4/12/2019 12:00:00 AM,3
4/13/2019 12:00:00 AM,10
4/14/2019 12:00:00 AM,0
4/15/2019 12:00:00 AM,16
4/16/2019 12:00:00 AM,1
4/17/2019 12:00:00 AM,4
4/18/2019 12:00:00 AM,2
4/19/2019 12:00:00 AM,4
4/20/2019 12:00:00 AM,20
4/21/2019 12:00:00 AM,15
4/22/2019 12:00:00 AM,72
4/23/2019 12:00:00 AM,33
4/24/2019 12:00:00 AM,25
4/25/2019 12:00:00 AM,21
4/26/2019 12:00:00 AM,61
4/27/2019 12:00:00 AM,19
4/28/2019 12:00:00 AM,46
4/29/2019 12:00:00 AM,41
4/30/2019 12:00:00 AM,24
5/1/2019 12:00:00 AM,40
5/2/2019 12:00:00 AM,36
5/3/2019 12:00:00 AM,39
5/4/2019 12:00:00 AM,75
5/5/2019 12:00:00 AM,191
5/6/2019 12:00:00 AM,133
5/7/2019 12:00:00 AM,85
5/8/2019 12:00:00 AM,39
5/9/2019 12:00:00 AM,29
5/10/2019 12:00:00 AM,14
5/11/2019 12:00:00 AM,40
5/12/2019 12:00:00 AM,0
5/13/2019 12:00:00 AM,0
5/14/2019 12:00:00 AM,0
5/15/2019 12:00:00 AM,2
5/16/2019 12:00:00 AM,0
5/17/2019 12:00:00 AM,0
5/18/2019 12:00:00 AM,0
5/19/2019 12:00:00 AM,0
5/20/2019 12:00:00 AM,0
5/21/2019 12:00:00 AM,0
5/22/2019 12:00:00 AM,6
5/23/2019 12:00:00 AM,12
5/24/2019 12:00:00 AM,12
5/25/2019 12:00:00 AM,8
5/26/2019 12:00:00 AM,12
5/27/2019 12:00:00 AM,9
5/28/2019 12:00:00 AM,14
5/29/2019 12:00:00 AM,26
5/30/2019 12:00:00 AM,24
5/31/2019 12:00:00 AM,0
6/1/2019 12:00:00 AM,14
6/2/2019 12:00:00 AM,20
6/3/2019 12:00:00 AM,32
6/4/2019 12:00:00 AM,28
6/5/2019 12:00:00 AM,14
6/6/2019 12:00:00 AM,16
